OBJECTID,TEHSIL,DISTRICT,STATE,VILLAGE,Shape_Leng,Shape_Area,REALTEHSIL
6,PIPLI,KURUKSHETRA,HARYANA,MATHANA,19153.2141413,14072597.6707,THANESAR
829,THANESAR,KURUKSHETRA,HARYANA,ALAMPUR,6262.22482382,2065212.22926,THANESAR
830,THANESAR,KURUKSHETRA,HARYANA,DIYALPUR,10088.5063602,2247096.96659,THANESAR
831,THANESAR,KURUKSHETRA,HARYANA,SAMSIPUR,10622.1555419,3867023.18854,THANESAR
832,PIPLI,KURUKSHETRA,HARYANA,KHERI MARKANDA,7043.29795923,1344819.38688,THANESAR
833,PIPLI,KURUKSHETRA,HARYANA,AMARGARH MAJHARA,5279.58732029,1042327.87092,THANESAR
834,PIPLI,KURUKSHETRA,HARYANA,SIRSAMA,8691.63573253,3628837.32347,THANESAR
835,PIPLI,KURUKSHETRA,HARYANA,DAULATPUR,8108.15339171,2664804.12839,THANESAR
836,PIPLI,KURUKSHETRA,HARYANA,DEVIDASPUR,5335.65242369,1585025.53811,THANESAR
837,PIPLI,KURUKSHETRA,HARYANA,PIPLI,6832.95888791,1889482.03429,THANESAR
838,PIPLI,KURUKSHETRA,HARYANA,BIR PIPLI,13221.8768803,3429907.32896,THANESAR
839,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR NAWABA,8698.78768423,1800806.06414,THANESAR
840,PIPLI,KURUKSHETRA,HARYANA,RATTAN DERA,8192.92606402,3392965.3465,THANESAR
841,PIPLI,KURUKSHETRA,HARYANA,PARTAPGARH,8770.10919901,1875266.72323,THANESAR
842,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR SHAHABAD,7133.70023753,2662758.71438,THANESAR
843,THANESAR,KURUKSHETRA,HARYANA,ADHAUN,8863.0156979,4027290.58908,THANESAR
844,PIPLI,KURUKSHETRA,HARYANA,PALWAL,8065.27803568,3249164.46114,THANESAR
845,THANESAR,KURUKSHETRA,HARYANA,KHERI BRAHMAN,4474.06726912,1092525.04855,THANESAR
846,THANESAR,KURUKSHETRA,HARYANA,KHERI RAMNAGAR,7108.48074835,2680455.19227,THANESAR
847,THANESAR,KURUKSHETRA,HARYANA,CHANDERBHANPUR,5904.38564108,2015137.78304,THANESAR
848,THANESAR,KURUKSHETRA,HARYANA,SALARPUR,4457.08648866,1280290.80431,THANESAR
849,THANESAR,KURUKSHETRA,HARYANA,ISHARPUR,6733.29807962,2009032.95631,THANESAR
850,THANESAR,KURUKSHETRA,HARYANA,FATUPUR,12296.905811,5252385.09928,THANESAR
851,THANESAR,KURUKSHETRA,HARYANA,JHINJARPUR,13124.7103521,6677563.85434,THANESAR
852,THANESAR,KURUKSHETRA,HARYANA,HATHIRA,10564.5921914,6153919.878829999,THANESAR
853,THANESAR,KURUKSHETRA,HARYANA,KIRMACH,23546.7870907,22144949.2831,THANESAR
854,THANESAR,KURUKSHETRA,HARYANA,SHADIPUR LADWA,4918.79990573,1171092.13865,THANESAR
3511,PIPLI,KURUKSHETRA,HARYANA,CHHARPUR,5333.14501238,1688845.28241,THANESAR
3512,PIPLI,KURUKSHETRA,HARYANA,BIR MATHANA,5737.7373082,1626058.05796,THANESAR
3513,THANESAR,KURUKSHETRA,HARYANA,KAINTHAL KALAN,5405.1670626,1791795.95157,THANESAR
3514,PIPLI,KURUKSHETRA,HARYANA,KISHANGARH,6599.36493863,1721824.35425,THANESAR
3515,ISMAILABAD,KURUKSHETRA,HARYANA,LOTNI,8323.70063965,2768839.41168,PEHOWA
3516,LADWA,KURUKSHETRA,HARYANA,DHUDI,5582.74132975,1329225.07483,LADWA
3517,LADWA,KURUKSHETRA,HARYANA,DUDHA,6869.08286498,2130016.0354,LADWA
3518,LADWA,KURUKSHETRA,HARYANA,SONTI,6313.75860923,1927727.1354,THANESAR
3519,PIPLI,KURUKSHETRA,HARYANA,GOVIND MAJRA,8696.37934623,3948451.76563,THANESAR
3520,ISMAILABAD,KURUKSHETRA,HARYANA,MALAKPUR,11208.1240369,6099834.94959,PEHOWA
3521,THANESAR,KURUKSHETRA,HARYANA,JOGNA KHERA,8515.35309615,3492606.99951,THANESAR
3522,PIPLI,KURUKSHETRA,HARYANA,HARIA PUR,8874.25459604,1708909.26496,THANESAR
3523,PEHOWA,KURUKSHETRA,HARYANA,BHERIAN,6366.56831103,2169631.47008,PEHOWA
3524,PIPLI,KURUKSHETRA,HARYANA,WAZIDPUR,7796.43749068,2882856.97313,THANESAR
3525,SHAHABAD,KURUKSHETRA,HARYANA,NARAYANGARH,4303.19739905,1177514.57733,SHAHABAD
3526,PEHOWA,KURUKSHETRA,HARYANA,DHULGARH,9099.8326089,1776728.16953,PEHOWA
3527,THANESAR,KURUKSHETRA,HARYANA,BICHGAWAN,10702.6457944,6065093.80928,THANESAR
3528,LADWA,KURUKSHETRA,HARYANA,BHALARI,5450.81845491,911336.387748,LADWA
3529,LADWA,KURUKSHETRA,HARYANA,JAINPUR,9229.82542774,4077301.25608,LADWA
3530,ISMAILABAD,KURUKSHETRA,HARYANA,NURPUR BUCHKI,3734.71557481,757554.047978,ISMAILABAD
3531,SHAHABAD,KURUKSHETRA,HARYANA,MOJA HANDO MAJRA,3406.89334741,476154.803857,
3532,PIPLI,KURUKSHETRA,HARYANA,KURUKSHETRA,31810.8207106,26960124.522100005,
3533,SHAHABAD,KURUKSHETRA,HARYANA,MOHANPUR,2354.90544382,290320.06385,SHAHABAD
3534,BABAIN,KURUKSHETRA,HARYANA,BINT,8966.3978589,2594774.07393,BABAIN
3535,BABAIN,KURUKSHETRA,HARYANA,BIR KALWA,10490.7540934,2802307.55996,BABAIN
3536,SHAHABAD,KURUKSHETRA,HARYANA,TIGRI,6243.25430042,1966083.81983,SHAHABAD
3537,PEHOWA,KURUKSHETRA,HARYANA,GALEDWA,7276.54596436,2998677.76355,PEHOWA
3538,LADWA,KURUKSHETRA,HARYANA,DHANDLA,8391.03165875,2508543.18738,LADWA
3539,ISMAILABAD,KURUKSHETRA,HARYANA,TABRAH,5699.89790573,1813971.00065,ISMAILABAD
3540,BABAIN,KURUKSHETRA,HARYANA,PHALSAKDA JATTAN,5324.7770004,1438618.77438,BABAIN
3541,SHAHABAD,KURUKSHETRA,HARYANA,JHAROLI KHURD,7982.19493388,3672675.44829,SHAHABAD
3542,LADWA,KURUKSHETRA,HARYANA,GAROLA,4973.23976376,1308467.24036,LADWA
3543,SHAHABAD,KURUKSHETRA,HARYANA,YARI,7528.96168657,3467856.18707,SHAHABAD
3544,SHAHABAD,KURUKSHETRA,HARYANA,MUGHAL MAJRA,6548.40888504,2198575.79342,SHAHABAD
3545,PEHOWA,KURUKSHETRA,HARYANA,CHHAJUPUR,9339.55200229,2822282.83988,PEHOWA
3546,LADWA,KURUKSHETRA,HARYANA,DUGAHERI,5543.33727039,1483423.33037,LADWA
3547,SHAHABAD,KURUKSHETRA,HARYANA,GULAB GARH,3766.39233308,516290.265576,SHAHABAD
3548,ISMAILABAD,KURUKSHETRA,HARYANA,SHIRI NAGAR,7042.20378157,1655615.16872,PEHOWA
3549,SHAHABAD,KURUKSHETRA,HARYANA,RAIPUR,7476.18128782,2292138.49648,SHAHABAD
3550,PIPLI,KURUKSHETRA,HARYANA,SAMANI,7142.8185945,3045349.48139,THANESAR
3551,THANESAR,KURUKSHETRA,HARYANA,CHIBA,10145.8056133,5888129.9371,THANESAR
3552,LADWA,KURUKSHETRA,HARYANA,SHAHZADPUR,2692.44923859,229759.844118,LADWA
3553,PIPLI,KURUKSHETRA,HARYANA,UNTSAAL,6882.53503656,2435451.06116,THANESAR
3554,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR SHAHIDA,6762.66997962,1708520.44119,THANESAR
3555,LADWA,KURUKSHETRA,HARYANA,BRAHAN,10052.7358287,2880239.50341,LADWA
3556,SHAHABAD,KURUKSHETRA,HARYANA,RATANGARH,11328.3297065,2523818.56145,SHAHABAD
3557,SHAHABAD,KURUKSHETRA,HARYANA,JOGI MAJRA,4521.6121483,1116761.79861,SHAHABAD
3558,BABAIN,KURUKSHETRA,HARYANA,TATKA,6885.89543467,1367494.4419,BABAIN
3559,THANESAR,KURUKSHETRA,HARYANA,DODHA KHERI,7310.45088596,1812921.30957,THANESAR
3560,PIPLI,KURUKSHETRA,HARYANA,MUKARPUR,6538.27524794,2192412.43828,THANESAR
3561,THANESAR,KURUKSHETRA,HARYANA,BALAHI,10024.5005322,4677971.40694,THANESAR
3562,PEHOWA,KURUKSHETRA,HARYANA,GARI LANGRI,8107.79806444,2742775.05364,PEHOWA
3563,BABAIN,KURUKSHETRA,HARYANA,DHANANI,7367.97225098,2257577.31361,BABAIN
3564,SHAHABAD,KURUKSHETRA,HARYANA,KAHAN GARH,5095.49382821,1281081.28224,SHAHABAD
3565,LADWA,KURUKSHETRA,HARYANA,SAMALKHA,5386.97753035,1559874.06875,LADWA
3566,SHAHABAD,KURUKSHETRA,HARYANA,MAHIDUDEENPUR,9499.35927811,2511915.63273,SHAHBAD
3567,THANESAR,KURUKSHETRA,HARYANA,MALAKPUR,6963.37334585,2904072.3226,THANESAR
3568,PEHOWA,KURUKSHETRA,HARYANA,NEEMBWALA,7206.36339988,3284858.66838,PEHOWA
3569,BABAIN,KURUKSHETRA,HARYANA,BERTHALI,6497.98681214,1856449.33306,SHAHABAD
3570,PEHOWA,KURUKSHETRA,HARYANA,SAIDPUR SHAHIDAN,8496.07036673,3372440.82556,ISMAILABAD
3571,PIPLI,KURUKSHETRA,HARYANA,MUNYARPUR,4328.68169979,1033963.94005,THANESAR
3572,THANESAR,KURUKSHETRA,HARYANA,SANEDI KHALSHA,9601.20154628,4455530.99055,THANESAR
3573,LADWA,KURUKSHETRA,HARYANA,BHALAR,7861.89625096,1660047.94875,LADWA
3574,BABAIN,KURUKSHETRA,HARYANA,HAMIDPUR,4051.0057813,922995.29188,BABAIN
3575,SHAHABAD,KURUKSHETRA,HARYANA,RAMNAGAR,5583.28090118,1049768.63586,SHAHABAD
3576,BABAIN,KURUKSHETRA,HARYANA,RAMSARAN MAJRA,14054.9210354,6384626.53952,BABAIN
3577,BABAIN,KURUKSHETRA,HARYANA,KANUNI,3424.43912149,642879.195668,BABAIN
3578,BABAIN,KURUKSHETRA,HARYANA,KALWA,1662.51812533,118009.216611,BABAIN
3579,THANESAR,KURUKSHETRA,HARYANA,DARAKHERA,3737.1238088,478752.978833,THANESAR
3580,PIPLI,KURUKSHETRA,HARYANA,MUSAPUR,4897.74413692,1319147.35001,THANESAR
3581,PIPLI,KURUKSHETRA,HARYANA,SANWALA,10738.3711628,5605032.27748,THANESAR
3582,PIPLI,KURUKSHETRA,HARYANA,KHANPUR  KOLIAN,8785.03967606,4527067.13977,THANESAR
3583,BABAIN,KURUKSHETRA,HARYANA,KHIRKI VIRAN,6944.00163643,1188844.76199,BABAIN
3584,PEHOWA,KURUKSHETRA,HARYANA,KHERI  SHAHIDAN,7404.25803603,2106431.62734,ISMAILABAD
3585,SHAHABAD,KURUKSHETRA,HARYANA,CHHAPRI,7681.63569337,2290129.20923,SHAHABAD
3586,SHAHABAD,KURUKSHETRA,HARYANA,KHANPUR JATTAN,11065.2436088,2364093.53959,SHAHABAD
3587,SHAHABAD,KURUKSHETRA,HARYANA,DHARAMGARH,4507.48102027,635489.517596,SHAHABAD
3588,SHAHABAD,KURUKSHETRA,HARYANA,MALIKPUR,6027.02028964,1277255.72311,SHAHABAD
3589,SHAHABAD,KURUKSHETRA,HARYANA,MUHDUDANA,4071.18969036,749155.350804,SHAHABAD
3590,SHAHABAD,KURUKSHETRA,HARYANA,NAGLA,8759.18402757,3912081.45769,SHAHABAD
3591,SHAHABAD,KURUKSHETRA,HARYANA,BORIPUR,3692.48106184,682109.260308,SHAHABAD
3592,SHAHABAD,KURUKSHETRA,HARYANA,JAINPUR,7080.61674534,1965581.93018,SHAHABAD
3593,ISMAILABAD,KURUKSHETRA,HARYANA,DALLA MAJRA,6800.61645128,1287776.61119,SHAHABAD
3594,ISMAILABAD,KURUKSHETRA,HARYANA,AJRAWAR,8635.05377025,4288501.68063,ISMAILABAD
3595,ISMAILABAD,KURUKSHETRA,HARYANA,GORKHA,7193.94649777,2232266.36715,ISMAILABAD
3596,ISMAILABAD,KURUKSHETRA,HARYANA,BABAKPUR,4007.71811352,1027849.17034,ISMAILABAD
3597,ISMAILABAD,KURUKSHETRA,HARYANA,MAJRI KALAN,4338.55883446,875297.779528,ISMAILABAD
3598,ISMAILABAD,KURUKSHETRA,HARYANA,MAJRI KHURD,4089.61081315,594810.578516,ISMAILABAD
3599,ISMAILABAD,KURUKSHETRA,HARYANA,ROHTI,7986.88858745,3052863.29028,ISMAILABAD
3600,THANESAR,KURUKSHETRA,HARYANA,GOGPUR,9979.12069631,3846036.18626,THANESAR
3601,ISMAILABAD,KURUKSHETRA,HARYANA,DUNIYA MAJRA,10321.3462709,2643462.86227,PEHOWA
3602,ISMAILABAD,KURUKSHETRA,HARYANA,KHANJARPUR,5389.90649437,1298463.36063,PEHOWA
3603,ISMAILABAD,KURUKSHETRA,HARYANA,SALPANI KALAN,12913.6560001,9041598.87455,THANESAR
3604,ISMAILABAD,KURUKSHETRA,HARYANA,JHIVREHRI,7034.95799951,2823409.43126,
3605,THANESAR,KURUKSHETRA,HARYANA,PANWAN,9271.73056904,4014233.64153,THANESAR
3606,THANESAR,KURUKSHETRA,HARYANA,HANSANPUR,7772.06255248,2574837.06402,THANESAR
3607,SHAHABAD,KURUKSHETRA,HARYANA,BIBIPUR,8912.38174936,3829953.61883,SHAHABAD
3608,THANESAR,KURUKSHETRA,HARYANA,AJRANA KALAN,15058.1214405,11107378.7242,THANESAR
3609,SHAHABAD,KURUKSHETRA,HARYANA,TANGOR,10951.3048363,6154548.57437,SHAHABAD
3610,ISMAILABAD,KURUKSHETRA,HARYANA,JHANSA,22722.1517402,16866511.6234,ISMAILABAD
3611,SHAHABAD,KURUKSHETRA,HARYANA,TANGORI,8530.68507273,3294001.62958,SHAHABAD
3612,ISMAILABAD,KURUKSHETRA,HARYANA,SHANTI NAGAR KURDI,13084.1581422,8801052.71679,ISMAILABAD
3613,ISMAILABAD,KURUKSHETRA,HARYANA,BASANT PUR,10043.2143475,4423912.81682,ISMAILABAD
3614,SHAHABAD,KURUKSHETRA,HARYANA,BIJARPUR,6977.02661281,2008630.37894,SHAHABAD
3615,SHAHABAD,KURUKSHETRA,HARYANA,NALWI,19337.6995532,8445693.67063,SHAHABAD
3616,ISMAILABAD,KURUKSHETRA,HARYANA,MANDI,10379.849894,6211113.25881,PEHOWA
3617,PEHOWA,KURUKSHETRA,HARYANA,BACHAKI,7465.60548896,3177662.63801,PEHOWA
3618,PEHOWA,KURUKSHETRA,HARYANA,CHANALHERI,12204.6474098,7449458.587869999,PEHOWA
3619,THANESAR,KURUKSHETRA,HARYANA,LUKHI,23946.8566854,22185722.0665,THANESAR
3620,PEHOWA,KURUKSHETRA,HARYANA,SURMI,11417.0595291,7564148.91044,PEHOWA
3621,THANESAR,KURUKSHETRA,HARYANA,BAGTHALA,16535.5722205,10488893.5971,THANESAR
3622,THANESAR,KURUKSHETRA,HARYANA,LOHAR MAJRA,10189.1023467,4417076.1458,PEHOWA
3623,THANESAR,KURUKSHETRA,HARYANA,JOSAR,16158.1987548,11454248.9909,THANESAR
3624,THANESAR,KURUKSHETRA,HARYANA,MUNDA KHERA,6780.06217644,2788941.87329,THANESAR
3625,THANESAR,KURUKSHETRA,HARYANA,NARKATARI,5434.12762918,1376601.29762,THANESAR
3626,THANESAR,KURUKSHETRA,HARYANA,MIRZAPUR,17929.0855521,7150278.90678,THANESAR
3627,THANESAR,KURUKSHETRA,HARYANA,GULABGARH,4723.03015259,1189869.16037,THANESAR
3628,THANESAR,KURUKSHETRA,HARYANA,BARWA,9610.59270899,5404726.39754,THANESAR
3629,THANESAR,KURUKSHETRA,HARYANA,BARNA,14347.4388859,10346339.8137,THANESAR
3630,PEHOWA,KURUKSHETRA,HARYANA,JHINWARHERI,4664.64965543,880077.545416,PEHOWA
3631,PEHOWA,KURUKSHETRA,HARYANA,BHOR SAIDAN,16870.676559,8185077.768410001,PEHOWA
3632,PEHOWA,KURUKSHETRA,HARYANA,MUQIMPUR,7169.95022921,1765642.87512,PEHOWA
3633,PEHOWA,KURUKSHETRA,HARYANA,TAKORAN,6666.98039232,2317042.13791,PEHOWA
3634,PEHOWA,KURUKSHETRA,HARYANA,NIKAT PURA,7076.2166238,2666650.26968,PEHOWA
3635,THANESAR,KURUKSHETRA,HARYANA,KHIJARPURA,7564.38327186,2482797.06966,PEHOWA
3636,PEHOWA,KURUKSHETRA,HARYANA,SINGHPURA,4924.45519778,1076693.71115,PEHOWA
3637,PEHOWA,KURUKSHETRA,HARYANA,BIBIPUR KALAN,10052.5830781,5701380.01761,PEHOWA
3638,PEHOWA,KURUKSHETRA,HARYANA,SAINSA,10559.2352764,4783550.96871,PEHOWA
3639,PEHOWA,KURUKSHETRA,HARYANA,MURTZAPUR,18697.7190815,11495571.7873,PEHOWA
3640,PEHOWA,KURUKSHETRA,HARYANA,BALOCHPURA,7695.20303989,3152947.93942,PEHOWA
3641,PEHOWA,KURUKSHETRA,HARYANA,SANDHOLI,14077.7365226,8847489.44628,PEHOWA
3642,PEHOWA,KURUKSHETRA,HARYANA,SANDHOLA,11192.6303483,6541942.21832,PEHOWA
3643,PEHOWA,KURUKSHETRA,HARYANA,ASMANPUR,10034.0525685,6064425.6942,PEHOWA
3644,PEHOWA,KURUKSHETRA,HARYANA,ARNAICHA,8556.22079039,4385954.64708,PEHOWA
3645,PEHOWA,KURUKSHETRA,HARYANA,PEHOWA,17153.9774787,10979092.7381,PEHOWA
3646,PEHOWA,KURUKSHETRA,HARYANA,DHANI RAMPURA,7686.74044019,3230130.48181,PEHOWA
3647,PEHOWA,KURUKSHETRA,HARYANA,URNAI,15623.5246881,8611144.93856,PEHOWA
3648,PEHOWA,KURUKSHETRA,HARYANA,SURASWATI KHERA,10761.4098749,5618214.99464,PEHOWA
3649,PEHOWA,KURUKSHETRA,HARYANA,TALEHERI,10968.8966317,5611504.19679,PEHOWA
3650,ISMAILABAD,KURUKSHETRA,HARYANA,KANTHLA,9489.45827171,4703113.57988,PEHOWA
3651,PEHOWA,KURUKSHETRA,HARYANA,NAISI,13819.5071029,7548511.24911,ISMAILABAD
3652,PEHOWA,KURUKSHETRA,HARYANA,GANGHERI,7424.71501532,3506768.81409,PEHOWA
3653,ISMAILABAD,KURUKSHETRA,HARYANA,JALBEHRA,12444.7711901,5880516.582129999,ISMAILABAD
3654,ISMAILABAD,KURUKSHETRA,HARYANA,THASKA MIRANJI,15031.6130137,10121028.5475,ISMAILABAD
3655,PEHOWA,KURUKSHETRA,HARYANA,JAKHWALA,11480.5775477,5545769.41788,ISMAILABAD
3656,PEHOWA,KURUKSHETRA,HARYANA,TEOKAR,8203.35391205,2772807.27122,PEHOWA
3657,PEHOWA,KURUKSHETRA,HARYANA,BODNI,13282.8315124,9194751.0455,PEHOWA
3658,PEHOWA,KURUKSHETRA,HARYANA,JULMAT,6864.24961476,2469175.7421,PEHOWA
3659,PEHOWA,KURUKSHETRA,HARYANA,KALSA,13036.1344974,9450232.55118,PEHOWA
3660,PEHOWA,KURUKSHETRA,HARYANA,MOHANPUR,15397.5785131,6495382.390350001,PEHOWA
3661,PEHOWA,KURUKSHETRA,HARYANA,SHAHPUR,6137.49904464,2067592.81016,PEHOWA
3662,PEHOWA,KURUKSHETRA,HARYANA,ISHAK,17189.3530489,12958018.8978,PEHOWA
3663,PEHOWA,KURUKSHETRA,HARYANA,SIYANA SAIDAN,14542.1099571,11715905.3415,PEHOWA
3664,PEHOWA,KURUKSHETRA,HARYANA,JORASI KHURD,7194.37359496,2357288.29668,PEHOWA
3665,PEHOWA,KURUKSHETRA,HARYANA,JORASI KALAN,8812.20182394,4501347.4238,PEHOWA
3666,PEHOWA,KURUKSHETRA,HARYANA,TIKRI,6769.34423208,2475473.65562,PEHOWA
3667,PEHOWA,KURUKSHETRA,HARYANA,MORTHALI,9692.58024839,4884376.71861,PEHOWA
3668,PEHOWA,KURUKSHETRA,HARYANA,JHINWARHERI (28),9754.352692,4154655.20422,THANESAR
3669,PEHOWA,KURUKSHETRA,HARYANA,BAKHLI,20297.1792384,18358566.0552,PEHOWA
3670,PEHOWA,KURUKSHETRA,HARYANA,SATORA,9617.76153993,3042965.67506,PEHOWA
3671,PEHOWA,KURUKSHETRA,HARYANA,GULDEHRA,16731.6745408,9189290.51623,PEHOWA
3672,PEHOWA,KURUKSHETRA,HARYANA,KHERI SHISHGRAN,13514.4791182,6566280.57349,PEHOWA
3673,PEHOWA,KURUKSHETRA,HARYANA,KARAHA,16883.4628772,10964343.528,PEHOWA
3674,PEHOWA,KURUKSHETRA,HARYANA,HELWA,9665.70220556,3220190.44031,PEHOWA
3675,SHAHABAD,KURUKSHETRA,HARYANA,SUDHPUR,11873.0433124,6260224.99375,THANESAR
3676,SHAHABAD,KURUKSHETRA,HARYANA,ATWAN,6497.29144354,2484461.44331,SHAHABAD
3677,SHAHABAD,KURUKSHETRA,HARYANA,BARAM,9581.75868582,5788029.94338,THANESAR
3678,SHAHABAD,KURUKSHETRA,HARYANA,KHERA,10246.854364,2460182.2196,SHAHABAD
3679,SHAHABAD,KURUKSHETRA,HARYANA,KATLAHERI,10717.445567,5334210.79866,SHAHABAD
3680,SHAHABAD,KURUKSHETRA,HARYANA,AHMADPUR,5873.60720429,1598788.17836,SHAHABAD
3681,PIPLI,KURUKSHETRA,HARYANA,DHIRPUR,6928.01918265,2714399.69827,THANESAR
3682,PIPLI,KURUKSHETRA,HARYANA,SARAI SUKHI,7534.75328246,3624751.90321,SHAHABAD
3683,SHAHABAD,KURUKSHETRA,HARYANA,RAWALKHERI,5373.46006907,1605172.33388,SHAHABAD
3684,PIPLI,KURUKSHETRA,HARYANA,KANIPALA,9973.09200019,5551086.90962,THANESAR
3685,SHAHABAD,KURUKSHETRA,HARYANA,CHANARTHAL,8540.30210262,4366448.63644,SHAHABAD
3686,SHAHABAD,KURUKSHETRA,HARYANA,DHANTORI,7862.18248806,2778270.45293,SHAHABAD
3687,PIPLI,KURUKSHETRA,HARYANA,MASANA,8950.51076448,4499339.9433,THANESAR
